DATE,Exchange Rate - U.S Dollar
1/1/1995,0.8461
2/1/1995,0.8412
3/1/1995,0.8905
4/1/1995,0.9074
5/1/1995,0.8975
6/1/1995,0.9137
7/1/1995,0.9288
8/1/1995,0.9413
9/1/1995,0.9519
10/1/1995,0.9593
11/1/1995,0.963
12/1/1995,0.9676
1/1/1996,0.9745
2/1/1996,0.981
3/1/1996,0.9862
4/1/1996,0.9898
5/1/1996,0.995
6/1/1996,1.0013
7/1/1996,1.0069
8/1/1996,1.0147
9/1/1996,1.0194
10/1/1996,1.0254
11/1/1996,1.0304
12/1/1996,1.0372
1/1/1997,1.0426
2/1/1997,1.0488
3/1/1997,1.057
4/1/1997,1.061
5/1/1997,1.068
6/1/1997,1.0746
7/1/1997,1.0805
8/1/1997,1.0879
9/1/1997,1.0935
10/1/1997,1.0999
11/1/1997,1.1072
12/1/1997,1.1136
1/1/1998,1.1199
2/1/1998,1.1273
3/1/1998,1.1334
4/1/1998,1.1409
5/1/1998,1.1475
6/1/1998,1.1543
7/1/1998,1.1614
8/1/1998,1.1717
9/1/1998,1.1805
10/1/1998,1.1889
11/1/1998,1.1932
12/1/1998,1.2052
1/1/1999,1.512
2/1/1999,1.9261
3/1/1999,1.9057
4/1/1999,1.7025
5/1/1999,1.6853
6/1/1999,1.7669
7/1/1999,1.8023
8/1/1999,1.8859
9/1/1999,1.8987
10/1/1999,1.9688
11/1/1999,1.9314
12/1/1999,1.8442
1/1/2000,1.8057
2/1/2000,1.7765
3/1/2000,1.7424
4/1/2000,1.7696
5/1/2000,1.8278
6/1/2000,1.8099
7/1/2000,1.7982
8/1/2000,1.8091
9/1/2000,1.8397
10/1/2000,1.8813
11/1/2000,1.9483
12/1/2000,1.9632
1/1/2001,1.9561
2/1/2001,2.006
3/1/2001,2.0955
4/1/2001,2.1934
5/1/2001,2.2926
6/1/2001,2.3788
7/1/2001,2.4731
8/1/2001,2.5122
9/1/2001,2.6767
10/1/2001,2.7408
11/1/2001,2.5481
12/1/2001,2.3635
1/1/2002,2.3799
2/1/2002,2.4242
3/1/2002,2.345
4/1/2002,2.3227
5/1/2002,2.4753
6/1/2002,2.7144
7/1/2002,2.9414
8/1/2002,3.1082
9/1/2002,3.3548
10/1/2002,3.7966
11/1/2002,3.5924
12/1/2002,3.6268
1/1/2003,3.4375
2/1/2003,3.5955
3/1/2003,3.4567
4/1/2003,3.109
5/1/2003,2.9517
6/1/2003,2.8887
7/1/2003,2.8833
8/1/2003,3.0053
9/1/2003,2.9204
10/1/2003,2.8628
11/1/2003,2.915
12/1/2003,2.9255
1/1/2004,2.8533
2/1/2004,2.9342
3/1/2004,2.9067
4/1/2004,2.9079
5/1/2004,3.1023
6/1/2004,3.1293
7/1/2004,3.0384
8/1/2004,3.0018
9/1/2004,2.8914
10/1/2004,2.852
11/1/2004,2.7877
12/1/2004,2.715
1/1/2005,2.6895
2/1/2005,2.5971
3/1/2005,2.7061
4/1/2005,2.576
5/1/2005,2.4554
6/1/2005,2.4148
7/1/2005,2.3702
8/1/2005,2.3609
9/1/2005,2.2949
10/1/2005,2.2536
11/1/2005,2.2109
12/1/2005,2.2809
1/1/2006,2.2666
2/1/2006,2.1587
3/1/2006,2.1528
4/1/2006,2.1281
5/1/2006,2.1697
6/1/2006,2.2493
7/1/2006,2.1883
8/1/2006,2.1553
9/1/2006,2.1679
10/1/2006,2.1458
11/1/2006,2.1555
12/1/2006,2.1476
1/1/2007,2.1376
2/1/2007,2.0939
3/1/2007,2.0883
4/1/2007,2.0302
5/1/2007,1.9836
6/1/2007,1.9323
7/1/2007,1.8812
8/1/2007,1.962
9/1/2007,1.9023
10/1/2007,1.7987
11/1/2007,1.7669
12/1/2007,1.7852
1/1/2008,1.771
2/1/2008,1.729
3/1/2008,1.709
4/1/2008,1.6863
5/1/2008,1.6585
6/1/2008,1.6179
7/1/2008,1.59
8/1/2008,1.6127
9/1/2008,1.8031
10/1/2008,2.181
11/1/2008,2.2704
12/1/2008,2.3954
1/1/2009,2.3079
2/1/2009,2.323
3/1/2009,2.3161
4/1/2009,2.2027
5/1/2009,2.0689
6/1/2009,1.9586
7/1/2009,1.9328
8/1/2009,1.8453
9/1/2009,1.8187
10/1/2009,1.7378
11/1/2009,1.7268
12/1/2009,1.7508
1/1/2010,1.7817
2/1/2010,1.842
3/1/2010,1.7855
4/1/2010,1.7568
5/1/2010,1.8142
6/1/2010,1.8042
7/1/2010,1.7689
8/1/2010,1.7589
9/1/2010,1.718
10/1/2010,1.6837
11/1/2010,1.7131
12/1/2010,1.6955
1/1/2011,1.6745
2/1/2011,1.6664
3/1/2011,1.6574
4/1/2011,1.5833
5/1/2011,1.6136
6/1/2011,1.5854
7/1/2011,1.5625
8/1/2011,1.5966
9/1/2011,1.7492
10/1/2011,1.7703
11/1/2011,1.7864
12/1/2011,1.8391
1/1/2012,1.785
2/1/2012,1.7168
3/1/2012,1.7953
4/1/2012,1.8522
5/1/2012,1.981
6/1/2012,2.0482
7/1/2012,2.0296
8/1/2012,2.0279
9/1/2012,2.0269
10/1/2012,2.0297
11/1/2012,2.0662
12/1/2012,2.0775
1/1/2013,2.0281
2/1/2013,1.9729
3/1/2013,1.9842
4/1/2013,2.0011
5/1/2013,2.0365
6/1/2013,2.1734
7/1/2013,2.2518
8/1/2013,2.3408
9/1/2013,2.2641
10/1/2013,2.1882
11/1/2013,2.2959
12/1/2013,2.3471
1/1/2014,2.3858
2/1/2014,2.3792
3/1/2014,2.3251
4/1/2014,2.2325
5/1/2014,2.2195
6/1/2014,2.236
7/1/2014,2.2242
8/1/2014,2.2685
9/1/2014,2.3379
10/1/2014,2.4495
11/1/2014,2.5527
12/1/2014,2.6419
1/1/2015,2.6346
2/1/2015,2.817
3/1/2015,3.1414
4/1/2015,3.0421
5/1/2015,3.0562
6/1/2015,3.1117
7/1/2015,3.2288
8/1/2015,3.5154
9/1/2015,3.9032
10/1/2015,3.8752
11/1/2015,3.7858
12/1/2015,3.8808
1/1/2016,4.0556
2/1/2016,3.9644
3/1/2016,3.698
4/1/2016,3.5634
5/1/2016,3.5403
6/1/2016,3.4234
7/1/2016,3.2781
8/1/2016,3.2086
9/1/2016,3.2532
10/1/2016,3.1854
11/1/2016,3.3369
12/1/2016,3.354
1/1/2017,3.1901
2/1/2017,3.1057
3/1/2017,3.1275
4/1/2017,3.139
5/1/2017,3.2043
6/1/2017,3.2954
7/1/2017,3.1994
8/1/2017,3.1478
9/1/2017,3.1325
10/1/2017,3.1923
11/1/2017,3.2629
12/1/2017,3.295
1/1/2018,3.2115
2/1/2018,3.2507
3/1/2018,3.279
4/1/2018,3.4089
5/1/2018,3.6316
6/1/2018,3.771
7/1/2018,3.8221
8/1/2018,3.9333
9/1/2018,4.1087
10/1/2018,3.7611
11/1/2018,3.786
12/1/2018,3.8834
1/1/2019,3.7356
2/1/2019,3.7244
3/1/2019,3.8407
4/1/2019,3.8974
5/1/2019,3.9915
6/1/2019,3.8557
7/1/2019,3.7785
8/1/2019,4.022
9/1/2019,4.1195
10/1/2019,4.0825
11/1/2019,4.1558
12/1/2019,4.1045
1/1/2020,4.1512
2/1/2020,4.347
3/1/2020,4.8862
4/1/2020,5.3171
5/1/2020,5.6394
6/1/2020,5.1884
7/1/2020,5.2735
8/1/2020,5.4685
9/1/2020,5.4
10/1/2020,5.6253
11/1/2020,5.4482
12/1/2020,5.1447
1/1/2021,5.3673
2/1/2021,5.4132
3/1/2021,5.6351
4/1/2021,5.5686
5/1/2021,5.2852
6/1/2021,5.0285
7/1/2021,5.1611
8/1/2021,5.2487
9/1/2021,5.279
10/1/2021,5.5416
11/1/2021,5.5668
12/1/2021,5.6549
1/1/2022,5.53
2/1/2022,5.1984
3/1/2022,4.9764
4/1/2022,4.7547
5/1/2022,4.9615
6/1/2022,5.0477
7/1/2022,5.3682
8/1/2022,5.1404
9/1/2022,5.2436
10/1/2022,5.2521
11/1/2022,5.268
12/1/2022,5.2454
1/1/2023,5.1922
2/1/2023,5.1808
3/1/2023,5.2086
4/1/2023,5.0215
5/1/2023,4.9813
6/1/2023,4.8537
7/1/2023,4.8005
